Metal,SurfaceArea,BandGap,ParticleSize,PoreVolume,Temperature,pH,Time,Activity
Cu,120,2.1,25,0.45,30,7,60,82
Cu,130,2,22,0.48,40,7,60,86
Co,150,2.3,18,0.6,35,6,90,89
Ni,110,2.5,28,0.4,25,8,45,75
Zn,90,3,35,0.3,30,7,60,68
Fe,170,2.2,16,0.65,40,6,90,91
Mn,140,2.4,20,0.55,35,7,75,84
Ti,200,3.1,12,0.8,45,5,120,95
Cu,160,2,15,0.7,50,6,90,94
Co,145,2.3,19,0.58,35,7,75,88
Ni,115,2.6,30,0.42,25,8,60,74
Zn,100,2.9,33,0.35,30,7,60,70
Fe,180,2.1,14,0.72,45,6,100,96
Mn,135,2.5,23,0.5,35,7,80,83
Ti,210,3,10,0.82,50,5,120,97
